DATE,HOUR,STREET1,STREET2,ROAD_CLASS,District,Division,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,INVAGE,INJURY,VEHTYPE,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID
2016-02-28,22,LAWRENCE AVE E,CARNFORTH RD,Major Arterial,North York,33,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Turning Movement,Driver,25 to 29,Minor,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,1,1,0,0,0,43
2016-02-29,19,COSBURN AVE,PAPE AVE,Minor Arterial,Toronto and East York,54,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,30 to 34,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,1,0,0,0,59
2016-03-01,11,BATHURST ST,NINA ST,Major Arterial,Toronto and East York,13,Intersection,Traffic Signal,Snow,Daylight,Loose Snow,Pedestrian Collisions,Driver,45 to 49,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,1,0,1,1,0,0,96
2016-03-03,12,GORDON BAKER RD,FINCH AVE E,Major Arterial,North York,33,Intersection,Traffic Signal,Clear,Daylight,Dry,Approaching,Driver,45 to 49,Major,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,0,0,0,0,46
2016-03-03,12,GORDON BAKER RD,FINCH AVE E,Major Arterial,North York,33,Intersection,Traffic Signal,Clear,Daylight,Dry,Approaching,Driver,60 to 64,Minor,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,0,0,0,0,46
2016-03-03,12,GORDON BAKER RD,FINCH AVE E,Major Arterial,North York,33,Intersection,Traffic Signal,Clear,Daylight,Dry,Approaching,Driver,80 to 84,Minor,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,0,0,0,0,46
2016-03-04,14,JARVIS ST,QUEEN ST E,Major Arterial,Toronto and East York,51,Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Truck Driver,30 to 34,None,Truck - Dump,1,0,0,0,1,0,0,0,0,0,0,0,0,73
2016-03-08,21,EGLINTON AVE W,BATHURST ST,Major Arterial,North York,53,Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,30 to 34,None,"Bus (Other) (Go Bus, Gray Coach)",1,0,0,0,0,1,0,0,0,0,0,0,0,102
2016-03-09,10,JOHN GARLAND BLVD,MARTIN GROVE RD,Major Arterial,Etobicoke York,23,Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,65 to 69,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,1,0,0,0,2
2016-03-09,18,STEELES AVE W,ISLINGTON AVE,Major Arterial,Etobicoke York,31,Mid-Block,No Control,Clear,Daylight,Dry,Rear End,Motorcycle Driver,25 to 29,Fatal,Motorcycle,0,0,0,1,0,0,0,0,1,1,0,0,0,21
2016-03-11,10,ALBION RD,HIGHWAY 27  N,Major Arterial,Etobicoke York,23,Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,40 to 44,Minor,"Automobile, Station Wagon",0,0,1,0,1,0,0,1,0,0,0,0,0,1
2016-03-11,10,ALBION RD,HIGHWAY 27  N,Major Arterial,Etobicoke York,23,Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Truck Driver,45 to 49,Minimal,Truck - Dump,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2016-03-12,22,YONGE ST,EGLINTON AVE E,Major Arterial,North York,53,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,15 to 19,Minimal,"Automobile, Station Wagon",1,0,1,0,0,0,0,1,1,1,0,0,1,104
2016-03-12,22,YONGE ST,EGLINTON AVE E,Major Arterial,North York,53,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,70 to 74,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,1,1,1,0,0,1,104
2016-03-13,8,KING ST W,CLOSE AVE,Major Arterial,Toronto and East York,14,Mid-Block,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,75 to 79,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,1,0,0,0,0,0,85
2016-03-14,3,SHEPPARD AVE W,WESTON RD,Major Arterial,Etobicoke York,31,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,SMV Other,Driver,25 to 29,Major,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,0,0,1,0,22
2016-03-14,9,DON MILLS RD,FINCH AVE E,Major Arterial,North York,33,Intersection,Traffic Signal,Rain,Daylight,Wet,Angle,Driver,55 to 59,Minimal,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,1,1,0,0,48
2016-03-14,9,DON MILLS RD,FINCH AVE E,Major Arterial,North York,33,Intersection,Traffic Signal,Rain,Daylight,Wet,Angle,Driver,40 to 44,Minimal,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,1,1,0,0,48
2016-03-14,17,PAPE AVE,CANNING AVE,Major Arterial,Toronto and East York,54,Mid-Block,No Control,Clear,Dusk,Wet,Pedestrian Collisions,Driver,20 to 24,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,0,0,0,0,59
